Sno,Company,Symbol,Portfolio%,      Price
1,Microsoft Corp,MSFT,7.19%,   425.52
2,Apple Inc.,AAPL,5.67%,   169.58
3,Nvidia Corp,NVDA,4.91%,   880.08
4,Amazon.com Inc,AMZN,3.81%,   185.07
5,"Meta Platforms, Inc. Class A",META,2.60%,   527.34
6,Alphabet Inc. Class A,GOOGL,2.05%,   152.50
7,Berkshire Hathaway Class B,BRK.B,1.75%,   418.62
8,Alphabet Inc. Class C,GOOG,1.74%,   153.94
9,Eli Lilly & Co.,LLY,1.42%,   784.21
10,Broadcom Inc.,AVGO,1.34%,"   1,339.43"
11,Jpmorgan Chase & Co.,JPM,1.31%,   197.45
12,Exxon Mobil Corporation,XOM,1.10%,   121.37
13,"Tesla, Inc.",TSLA,1.10%,   164.90
14,Visa Inc.,V,1.00%,   277.14
15,Unitedhealth Group Incorporated,UNH,0.97%,   455.74
16,Mastercard Incorporated,MA,0.90%,   477.15
17,Johnson & Johnson,JNJ,0.85%,   152.39
18,Procter & Gamble Company,PG,0.85%,   156.10
19,"Home Depot, Inc.",HD,0.82%,   357.87
20,"Merck & Co., Inc.",MRK,0.75%,   127.99
21,Costco Wholesale Corp,COST,0.72%,   713.72
22,Abbvie Inc.,ABBV,0.69%,   170.00
23,"Salesforce, Inc.",CRM,0.66%,   301.91
24,Chevron Corporation,CVX,0.65%,   161.60
25,Advanced Micro Devices,AMD,0.62%,   170.42
26,Netflix Inc,NFLX,0.62%,   636.18
27,Walmart Inc.,WMT,0.59%,   59.85
28,Bank of America Corporation,BAC,0.59%,   37.11
29,"Pepsico, Inc.",PEP,0.54%,   169.14
30,Coca-Cola Company,KO,0.53%,   59.51
31,Linde Plc,LIN,0.51%,   464.70
32,"Thermo Fisher Scientific, Inc.",TMO,0.51%,   579.46
33,Adobe Inc.,ADBE,0.51%,   485.12
34,The Walt Disney Company,DIS,0.50%,   118.38
35,Accenture Plc,ACN,0.48%,   333.00
36,Wells Fargo & Co.,WFC,0.47%,   57.40
37,Oracle Corp,ORCL,0.46%,   124.90
38,Mcdonald's Corporation,MCD,0.45%,   266.69
39,"Cisco Systems, Inc.",CSCO,0.45%,   48.55
40,Abbott Laboratories,ABT,0.44%,   111.20
41,Qualcomm Inc,QCOM,0.44%,   171.53
42,Caterpillar Inc.,CAT,0.44%,   379.30
43,Verizon Communications,VZ,0.41%,   42.12
44,Intuit Inc,INTU,0.40%,   635.74
45,International Business Machines Corporation,IBM,0.40%,   189.14
46,Applied Materials Inc,AMAT,0.39%,   207.85
47,Intel Corp,INTC,0.39%,   38.71
48,Comcast Corp,CMCSA,0.38%,   40.90
49,General Electric Company,GE,0.37%,   156.30
50,Danaher Corporation,DHR,0.37%,   244.28
51,"Servicenow, Inc.",NOW,0.36%,   783.50
52,Conocophillips,COP,0.36%,   133.52
53,"Uber Technologies, Inc.",UBER,0.36%,   77.16
54,Texas Instruments Incorporated,TXN,0.35%,   167.50
55,Pfizer Inc.,PFE,0.35%,   26.66
56,Union Pacific Corp.,UNP,0.34%,   242.01
57,Amgen Inc,AMGN,0.33%,   269.95
58,Philip Morris International Inc.,PM,0.32%,   89.48
59,S&p Global Inc.,SPGI,0.32%,   431.59
60,Lowe's Companies Inc.,LOW,0.32%,   239.32
61,"Micron Technology, Inc.",MU,0.32%,   123.58
62,Intuitive Surgical Inc.,ISRG,0.31%,   388.39
63,Goldman Sachs Group Inc.,GS,0.31%,   408.07
64,Rtx Corporation,RTX,0.31%,   101.69
65,"Nextra Energy, Inc.",NEE,0.30%,   64.18
66,"Honeywell International, Inc.",HON,0.30%,   197.15
67,"Eaton Corporation, Plcs",ETN,0.30%,   330.51
68,American Express Company,AXP,0.29%,   222.46
69,At&t Inc.,T,0.29%,   17.42
70,Lam Research Corp,LRCX,0.29%,   968.58
71,Booking Holdings Inc.,BKNG,0.28%,"   3,601.90"
72,Progressive Corporation,PGR,0.28%,   211.00
73,Stryker Corporation,SYK,0.27%,   351.02
74,"Elevance Health, Inc.",ELV,0.27%,   507.35
75,Citigroup Inc.,C,0.27%,   61.60
76,Morgan Stanley,MS,0.27%,   92.47
77,"Prologis, Inc.",PLD,0.27%,   124.74
78,Medtronic Plc,MDT,0.26%,   84.56
79,"Blackrock, Inc.",BLK,0.26%,   797.56
80,"Tjx Companies, Inc.",TJX,0.25%,   96.81
81,"Nike, Inc.",NKE,0.25%,   88.84
82,"United Parcel Service, Inc. Class B",UPS,0.25%,   151.36
83,The Charles Schwab Corporation,SCHW,0.25%,   71.89
84,Deere & Company,DE,0.25%,   412.54
85,The Cigna Group,CI,0.24%,   362.45
86,Boeing Company,BA,0.24%,   183.14
87,Bristol-Myers Squibb Co.,BMY,0.24%,   51.32
88,Vertex Pharmaceuticals Inc,VRTX,0.24%,   406.67
89,Chubb Limited,CB,0.24%,   252.90
90,Automatic Data Processing,ADP,0.23%,   244.85
91,Starbucks Corp,SBUX,0.23%,   86.85
92,Boston Scientific Corp.,BSX,0.23%,   68.56
93,Regeneron Pharmaceuticals Inc,REGN,0.23%,   942.70
94,"Marsh & Mclennan Companies, Inc.",MMC,0.23%,   205.58
95,Lockheed Martin Corp.,LMT,0.23%,   455.38
96,"Analog Devices, Inc.",ADI,0.22%,   194.76
97,Cvs Health Corporation,CVS,0.22%,   74.58
98,"Fiserv, Inc.",FI,0.22%,   157.38
99,"Mondelez International, Inc. Class A",MDLZ,0.21%,   67.99
100,Kla Corporation,KLAC,0.21%,   682.84
101,Blackstone Inc.,BX,0.21%,   127.58
102,American Tower Corporation,AMT,0.21%,   190.17
103,Gilead Sciences Inc,GILD,0.20%,   69.58
104,Synopsys Inc,SNPS,0.20%,   575.45
105,"T-Mobile Us, Inc.",TMUS,0.20%,   161.11
106,"Palo Alto Networks, Inc.",PANW,0.19%,   269.01
107,Cadence Design Systems,CDNS,0.19%,   308.02
108,Marathon Petroleum Corporation,MPC,0.18%,   219.13
109,Target Corporation,TGT,0.18%,   171.77
110,"Chipotle Mexican Grill, Inc.",CMG,0.18%,"   2,905.42"
111,Intercontinental Exchange Inc.,ICE,0.18%,   137.87
112,"Eog Resources, Inc.",EOG,0.18%,   135.94
113,The Sherwin-Williams Company,SHW,0.18%,   331.85
114,Schlumberger Limited,SLB,0.18%,   55.03
115,Cme Group Inc.,CME,0.18%,   211.08
116,The Southern Company,SO,0.18%,   69.91
117,Zoetis Inc.,ZTS,0.18%,   165.86
118,"Waste Management, Inc.",WM,0.18%,   206.93
119,Duke Energy Corporation,DUK,0.17%,   95.91
120,"Altria Group, Inc.",MO,0.17%,   41.65
121,Phillips 66,PSX,0.17%,   170.75
122,"Equinix, Inc. Reit",EQIX,0.17%,   784.41
123,Arista Networks,ANET,0.17%,   297.60
124,Colgate-Palmolive Company,CL,0.17%,   87.88
125,Illinois Tool Works Inc.,ITW,0.17%,   262.94
126,Parker-Hannifin Corporation,PH,0.17%,   566.67
127,Csx Corporation,CSX,0.17%,   36.30
128,Freeport-Mcmoran Inc.,FCX,0.16%,   49.47
129,"Becton, Dickinson and Co.",BDX,0.16%,   246.17
130,Mckesson Corporation,MCK,0.16%,   538.75
131,"Paypal Holdings, Inc.",PYPL,0.16%,   65.15
132,"Airbnb, Inc. Class A",ABNB,0.16%,   161.77
133,Amphenol Corporation,APH,0.16%,   117.38
134,Trane Technologies Plc,TT,0.16%,   304.67
135,U.S. Bancorp,USB,0.15%,   43.03
136,Transdigm Group Incorporated,TDG,0.15%,"   1,235.28"
137,General Dynamics Corporation,GD,0.15%,   295.18
138,Northrop Grumman Corp.,NOC,0.15%,   454.50
139,"O'reilly Automotive, Inc.",ORLY,0.15%,"   1,117.56"
140,Emerson Electric Co.,EMR,0.15%,   114.54
141,"Hca Healthcare, Inc.",HCA,0.15%,   328.80
142,Fedex Corporation,FDX,0.15%,   273.52
143,Paccar Inc,PCAR,0.15%,   122.21
144,Aon Plc Class A,AON,0.15%,   318.99
145,Pioneer Natural Resource Co.,PXD,0.15%,   272.78
146,Pnc Financial Services Group,PNC,0.14%,   157.37
147,Nxp Semiconductors N.v.,NXPI,0.14%,   241.01
148,Moody's Corporation,MCO,0.14%,   392.47
149,Valero Energy Corporation,VLO,0.14%,   183.39
150,Marriot International Class A,MAR,0.14%,   253.93
151,Constellation Energy Corporation,CEG,0.14%,   193.08
152,"Motorola Solutions, Inc.",MSI,0.13%,   352.30
153,Cintas Corp,CTAS,0.13%,   673.69
154,"Roper Technologies, Inc.",ROP,0.13%,   543.01
155,"Ecolab, Inc.",ECL,0.13%,   227.75
156,Norfolk Southern Corp.,NSC,0.13%,   250.03
157,Edwards Lifesciences Corp,EW,0.13%,   92.70
158,Capital One Financial,COF,0.13%,   143.52
159,"American International Group, Inc.",AIG,0.12%,   77.71
160,"Autozone, Inc.",AZO,0.12%,"   3,104.94"
161,"Air Products & Chemicals, Inc.",APD,0.12%,   238.68
162,Hilton Worldwide Holdings Inc.,HLT,0.12%,   211.69
163,Autodesk Inc,ADSK,0.12%,   244.74
164,"The Travelers Companies, Inc.",TRV,0.12%,   230.89
165,Ford Motor Company,F,0.12%,   13.28
166,Arthur J. Gallagher & Co.,AJG,0.12%,   243.99
167,"Dexcom, Inc.",DXCM,0.12%,   138.93
168,Truist Financial Corporation,TFC,0.12%,   38.09
169,General Motors Company,GM,0.12%,   44.23
170,Welltower Inc.,WELL,0.12%,   91.76
171,3m Company,MMM,0.12%,   91.03
172,Nucor Corporation,NUE,0.11%,   200.97
173,Copart Inc,CPRT,0.11%,   56.55
174,"Simon Property Group, Inc.",SPG,0.11%,   150.15
175,"Super Micro Computer, Inc.",SMCI,0.11%,   948.02
176,Williams Companies Inc.,WMB,0.11%,   39.23
177,Ross Stores Inc,ROST,0.11%,   139.53
178,D.R. Horton Inc.,DHI,0.11%,   158.52
179,"United Rentals, Inc.",URI,0.11%,   706.87
180,Carrier Global Corporation,CARR,0.11%,   56.44
181,Microchip Technology Inc,MCHP,0.11%,   87.57
182,"Oneok, Inc.",OKE,0.11%,   79.65
183,"Metlife, Inc.",MET,0.10%,   73.60
184,Te Connectivity Ltd,TEL,0.10%,   144.65
185,Aflac Inc.,AFL,0.10%,   85.42
186,The Allstate Corporation,ALL,0.10%,   172.82
187,Occidental Petroleum Corporation,OXY,0.10%,   69.25
188,Sempra,SRE,0.10%,   70.52
189,Public Storage,PSA,0.10%,   282.57
190,"American Electric Power Company, Inc.",AEP,0.10%,   83.95
191,"Fortinet, Inc.",FTNT,0.10%,   70.91
192,Crown Castle Inc.,CCI,0.10%,   100.78
193,"W.W. Grainger, Inc.",GWW,0.10%,"   1,014.83"
194,Johnson Controls International Plc,JCI,0.10%,   65.19
195,Realty Income Corporation,O,0.10%,   53.01
196,Iqvia Holdings Inc.,IQV,0.10%,   241.45
197,Newmont Corporation,NEM,0.10%,   39.65
198,"Ameriprise Financial, Inc.",AMP,0.10%,   434.81
199,Hess Corporation,HES,0.10%,   157.45
200,Bank of New York Mellon Corporation,BK,0.10%,   56.74
201,Idexx Laboratories Inc,IDXX,0.10%,   519.54
202,Fastenal Co,FAST,0.10%,   76.63
203,Kimberly-Clark Corp.,KMB,0.10%,   126.31
204,"Constellation Brands, Inc.",STZ,0.10%,   265.63
205,"Fidelity National Information Services, Inc.",FIS,0.10%,   72.44
206,"Digital Realty Trust, Inc.",DLR,0.10%,   142.60
207,"Msci, Inc.",MSCI,0.10%,   542.39
208,Dow Inc.,DOW,0.10%,   59.69
209,"Prudential Financial, Inc.",PRU,0.10%,   115.71
210,"Ametek, Inc.",AME,0.10%,   182.22
211,Agilent Technologies Inc.,A,0.10%,   144.12
212,Monster Beverage Corporation,MNST,0.10%,   55.90
213,Lululemon Athletica Inc.,LULU,0.10%,   356.87
214,Lennar Corporation Class A,LEN,0.09%,   166.22
215,"Dominion Energy, Inc",D,0.09%,   48.57
216,"Cencora, Inc.",COR,0.09%,   243.22
217,Cummins Inc.,CMI,0.09%,   300.67
218,"Corteva, Inc.",CTVA,0.09%,   56.85
219,"General Mills, Inc.",GIS,0.09%,   69.79
220,Otis Worldwide Corporation,OTIS,0.09%,   97.77
221,"L3harris Technologies, Inc.",LHX,0.09%,   208.96
222,Old Dominion Freight Line,ODFL,0.09%,   224.57
223,Paychex Inc,PAYX,0.09%,   122.38
224,Sysco Corporation,SYY,0.09%,   76.67
225,Centene Corporation,CNC,0.09%,   72.78
226,"Yum! Brands, Inc.",YUM,0.09%,   136.10
227,Republic Services Inc.,RSG,0.09%,   188.40
228,Humana Inc.,HUM,0.09%,   313.11
229,The Kroger Co.,KR,0.09%,   57.31
230,"Quanta Services, Inc.",PWR,0.09%,   263.20
231,Costar Group Inc,CSGP,0.09%,   94.75
232,Ingersoll Rand Inc.,IR,0.09%,   94.81
233,Martin Marietta Materials,MLM,0.09%,   619.41
234,Ge Healthcare Technologies Inc.,GEHC,0.09%,   88.47
235,Exelon Corporation,EXC,0.09%,   37.34
236,Halliburton Company,HAL,0.08%,   41.24
237,"Gartner, Inc.",IT,0.08%,   470.36
238,"Diamondback Energy, Inc.",FANG,0.08%,   204.32
239,Cognizant Technology Solutions,CTSH,0.08%,   71.13
240,"Kinder Morgan, Inc.",KMI,0.08%,   18.46
241,Pg&e Corporation,PCG,0.08%,   16.81
242,Vulcan Materials Company,VMC,0.08%,   270.15
243,Dollar General Corp.,DG,0.08%,   159.55
244,Kenvue Inc.,KVUE,0.08%,   20.25
245,Ge Vernova Inc.,GEV,0.08%,   122.70
246,Baker Hughes Company,BKR,0.08%,   34.31
247,"Moderna, Inc.",MRNA,0.08%,   102.88
248,Cdw Corporation,CDW,0.08%,   255.19
249,Arch Capital Group Ltd,ACGL,0.08%,   94.90
250,Archer Daniels Midland Company,ADM,0.08%,   63.46
251,Devon Energy Corporation,DVN,0.08%,   53.27
252,The Estee Lauder Companies Inc. Class A,EL,0.08%,   144.43
253,Public Service Enterprise Group Incorporated,PEG,0.08%,   66.52
254,"Verisk Analytics, Inc.",VRSK,0.08%,   227.65
255,"Ppg Industries, Inc.",PPG,0.08%,   139.04
